hid,lat,lng,place,tier,airport,landmarks,bar,hospital,food,atm,market_place,bus_station,movie_theatre,train_station,spa_gym,offices,
10274,8.310355186,77.08004761,Thiruvananthapuram,2,Yes,15.28999782,0,1.957297175,1.163623722,1.301051553,0,2.506030807,1.804852893,9.620770456,0,5.939899548,
10275,33.07343674,75.33516693,Patnitop,3,No,5.827803952,0,0,0,0,0,0,0,0,0,0,
10277,34.081604,74.84185028,Srinagar,2,Yes,1.866626594,0,0,0,0,0,0,0,8.63831299,0,1.877178443,
10278,32.72696686,74.85921478,Jammu,3,Yes,1.26553483,0,0,0,0,0,0,0,0,0,0,
10279,26.71879005,88.42681122,Siliguri,3,Yes,0.621057166,0.787770524,0.846073687,0.302755855,0.358706014,0.237968626,1.029687487,1.390605869,1.425282764,0.496874784,0.295815351,
10280,10.08901024,77.05953217,Munnar,3,No,0.126537672,0,1.64554863,0.110496076,0.247301945,0.133126111,1.047851438,0,0,0,3.042620353,
10281,29.38510513,79.46498108,Nainital,3,No,0.527245722,0,1.158261216,0.717414962,0.812855719,0.794581898,1.365423884,0.985562627,0,0.903962261,0.99555771,
10282,34.08870697,74.84417725,Srinagar,2,Yes,2.211209711,0,0,0,0,0,0,0,9.303189109,0,2.025542863,
10285,11.42024231,76.86943817,Kotagiri,3,No,12.82246546,0,1.318432021,0.59928118,0.827564812,0.522217522,0.574865428,0,10.5294036,0.603779227,2.364623802,
10286,17.57199478,78.55731201,Hyderabad,1,Yes,13.25218819,2.397566215,2.757473031,0.118025244,0,0.769888395,0.947988355,4.485115977,6.65991584,0.88433398,6.491587202,
10287,9.627538681,76.42430878,Kumarakom,3,No,9.421297941,3.024107868,3.434231877,1.594060632,2.267573297,0,0,3.46338441,0,4.244607337,8.027187814,
10288,9.598197937,76.98090363,Thekkady,3,No,6.072862467,0,3.377315204,1.618725695,2.005086276,0,1.823364136,5.253527692,0,1.665778395,5.889773607,
10289,17.71310616,83.29747772,Visakhapatnam,2,Yes,1.344985349,0.506191091,0.726147003,1.14512063,0.543683088,0.603064849,0.834271577,0.327554875,1.260894461,1.871934233,1.466888799,
10291,13.64242363,79.42914581,Tirupati,2,Yes,1.354240335,1.587191097,0.942737113,1.216231629,0.912149732,0.972442367,0.761766447,0.809566338,6.710414912,1.033980843,1.570729242,
10292,29.38034248,79.46356201,Nainital,3,No,0.338434426,0,1.365982277,0.87982085,0.925136145,0.615095602,1.265390365,0.983250087,0,0.891862015,1.106424998,
10293,10.2361393,77.49111938,Kodaikanal,3,No,0.464550248,0.969729148,0.633846327,0.034954087,0.310139964,0.43895986,0.797396888,0.750501916,0,1.001665528,0.256858743,
10295,12.95486355,77.58127594,Bangalore,1,Yes,1.823125841,2.541020071,1.334017573,2.743093599,0.777327796,1.054001977,1.165208319,1.526338853,3.895806737,1.822926031,1.434462944,
